year,alone,children,coworkers,friends,partner,family
15,193.30588,23.463852,8.3420067,109.4145,0.0,267.12091
18,242.69839,27.387308,81.633575,137.75107,5.6972671,236.35201
19,267.79385,36.445004,124.85052,129.85716,19.341291,201.2766
20,277.60379,54.630512,143.9003,122.7402,26.35417,173.13503
21,270.21817,69.293869,154.20972,122.40627,59.897781,152.67331
16,206.37056,28.609867,23.529137,110.7418,0.030690858,254.3381
17,224.17331,26.089708,43.809685,120.41887,1.1228406,229.81561
22,283.56686,72.302246,173.0473,100.16862,55.767094,135.8266
23,270.93015,96.935883,190.10524,101.07177,78.188667,125.79333
24,265.81378,99.394424,206.05486,96.786346,99.44416,103.75845
25,275.12906,119.50971,199.20917,77.543015,121.25083,101.02744
26,281.63202,128.59393,190.09406,77.856834,139.91745,87.654915
27,259.3331,153.33383,211.48781,74.140686,151.88562,85.956535
28,261.13989,175.83809,212.14497,62.491688,168.24556,80.147217
29,253.66589,194.49931,199.11349,55.084454,176.19919,81.6101
30,250.02524,199.76436,215.61365,53.478016,180.02309,72.476334
31,253.16542,225.92371,199.06003,50.925926,203.71202,69.526543
32,255.07323,230.71593,202.76134,49.464462,192.00175,61.336475
33,244.90091,256.41312,186.96373,49.731628,200.02365,66.359383
34,263.59116,261.18497,179.36411,42.650288,199.23759,65.723053
35,262.62488,248.93806,190.68065,41.661636,198.27702,62.107143
36,273.27942,256.59799,178.94667,40.120937,197.55948,64.809921
37,267.09787,256.37634,188.47969,43.362503,204.00514,56.446011
38,258.99704,254.45975,197.09261,42.101093,203.30919,54.001514
39,281.98877,266.07874,172.79756,33.611919,212.07637,52.701588
40,278.25668,242.43935,187.34126,36.197014,201.94627,54.638985
41,292.07227,237.29298,179.37498,38.729492,194.68652,55.611694
42,297.90939,222.96886,189.4864,38.695633,182.25496,50.690075
43,321.74783,207.65651,169.79688,39.107994,181.83145,55.288914
44,312.69861,207.01961,182.13411,38.859802,191.94835,54.224209
45,309.03583,199.21028,182.52716,36.090996,183.99062,58.068977
46,326.78207,177.52652,179.01489,37.459354,186.65195,54.798512
47,338.24756,168.4313,171.43033,39.243477,181.05563,60.089104
48,332.5762,157.297,170.06847,33.357357,197.96497,58.556328
49,339.72601,132.68301,187.72957,37.315029,194.11002,58.63641
50,361.14328,132.44537,168.1844,28.917883,174.92821,65.362938
51,368.59146,123.67976,172.19505,35.627602,187.80592,62.211754
52,380.84085,102.66885,176.08771,33.961197,190.51634,65.243996
53,372.17041,102.3604,168.29805,31.585169,188.71446,59.573872
54,377.70459,89.755821,184.43581,34.837147,182.8898,60.021786
55,384.14532,88.129921,162.92227,33.079144,184.38846,60.739655
56,387.00711,78.608688,154.11407,36.820248,195.93608,66.083549
57,399.18466,73.898285,157.73422,31.479084,185.31619,58.831005
58,409.77731,68.309761,140.36014,35.2756,186.54398,65.851311
59,411.51978,70.334312,140.17371,29.068735,199.87039,67.322807
60,413.32019,61.933525,125.92768,35.94643,204.63687,65.528786
61,414.82727,71.07634,126.77782,32.807606,205.22923,60.896008
62,425.2204,57.484367,96.651878,34.453568,224.05167,56.583904
63,430.51068,62.510818,78.317001,36.147518,232.44521,73.459251
64,449.01306,55.407318,78.246071,35.180847,231.84886,63.962303
65,444.02954,57.586105,62.186493,35.90049,242.53215,65.28495
66,431.98727,59.682854,50.919098,40.828274,255.86,69.281334
67,433.85413,62.771469,44.558029,38.98082,258.14743,58.832348
68,448.22601,53.818981,39.273418,41.382526,260.36365,53.716782
69,443.00061,68.845222,27.190746,42.001629,270.69342,61.424671
70,448.85193,52.782196,26.851473,45.80217,261.86359,47.977863
71,444.47784,59.073078,21.892221,44.433987,266.694,58.145714
72,474.45526,46.338203,20.653986,44.234802,261.05215,57.166805
73,451.40637,56.115063,18.386124,36.592476,276.13379,56.550076
74,458.6745,48.986588,14.613341,40.508751,254.44495,66.20977
75,463.43195,48.644051,16.36656,39.079994,252.93309,56.281876
76,456.49493,44.339306,19.662245,41.503906,266.23712,51.955276
77,454.3125,46.719131,12.47935,33.595589,272.73013,67.455605
78,461.63959,42.985035,3.2494414,39.297825,256.41376,59.704296
79,485.83075,38.609028,4.5325632,41.975792,235.3701,51.944447
80,476.76736,45.010258,5.2152042,35.589745,227.04634,66.100365
85,501.88327,45.463383,3.5733819,36.37146,158.42017,65.052567
